时间,PB市值加权值
2020/4/3,1.3295
2020/3/27,1.349
2020/3/20,1.3336
2020/3/13,1.4131
2020/3/6,1.4906
2020/2/28,1.4256
2020/2/21,1.5007
2020/2/14,1.4488
2020/2/7,1.4231
2020/1/23,1.4704
2020/1/17,1.5173
2020/1/10,1.526
2020/1/3,1.526
2019/12/27,1.4856
2019/12/20,1.4858
2019/12/13,1.4457
2019/12/6,1.4196
2019/11/29,1.4005
2019/11/22,1.4061
2019/11/15,1.4147
2019/11/8,1.4498
2019/11/1,1.4438
2019/10/25,1.501
2019/10/18,1.4939
2019/10/11,1.5092
2019/9/30,1.4689
2019/9/27,1.482
2019/9/20,1.511
2019/9/12,1.5232
2019/9/6,1.513
2019/8/30,1.4692
2019/8/23,1.487
2019/8/16,1.4546
2019/8/9,1.4372
2019/8/2,1.4789
2019/7/26,1.5203
2019/7/19,1.5005
2019/7/12,1.4988
2019/7/5,1.5212
2019/6/28,1.4934
2019/6/21,1.4938
2019/6/14,1.3964
2019/6/6,1.3682
2019/5/31,1.3822
2019/5/24,1.3664
2019/5/17,1.3768
2019/5/10,1.4037
2019/4/30,1.4731
2019/4/26,1.5043
2019/4/19,1.6027
2019/4/12,1.5552
2019/4/4,1.585
2019/3/29,1.525
2019/3/22,1.5338
2019/3/15,1.5078
2019/3/8,1.4839
2019/3/1,1.5265
2019/2/22,1.433
2019/2/15,1.3711
2019/2/1,1.3474
2019/1/25,1.3214
2019/1/18,1.3121
2019/1/11,1.2835
2019/1/4,1.2662
2018/12/28,1.2584
2018/12/21,1.2657
2018/12/14,1.2913
2018/12/7,1.2953
2018/11/30,1.291
2018/11/23,1.2828
2018/11/16,1.3223
2018/11/9,1.2984
2018/11/2,1.3485
2018/10/26,1.3662
2018/10/19,1.3627
2018/10/12,1.3792
2018/9/28,1.4803
2018/9/21,1.4657
2018/9/14,1.3903
2018/9/7,1.3954
2018/8/31,1.4148
2018/8/24,1.4311
2018/8/17,1.3941
2018/8/10,1.462
2018/8/3,1.4282
2018/7/27,1.4965
2018/7/20,1.4777
2018/7/13,1.4698
2018/7/6,1.4093
2018/6/29,1.4621
2018/6/22,1.5006
2018/6/15,1.5528
2018/6/8,1.5175
2018/6/1,1.5146
2018/5/25,1.5374
2018/5/18,1.5765
2018/5/11,1.5625
2018/5/4,1.5203
2018/4/27,1.5357
2018/4/20,1.5495
2018/4/13,1.596
2018/4/4,1.5821
2018/3/30,1.6084
2018/3/23,1.6439
2018/3/16,1.6968
2018/3/9,1.7226
2018/3/2,1.6964
2018/2/23,1.7356
2018/2/14,1.6867
2018/2/9,1.6482
2018/2/2,1.8409
2018/1/26,1.8691
2018/1/19,1.8199
2018/1/12,1.7619
2018/1/5,1.7276
2017/12/29,1.686
2017/12/22,1.6828
2017/12/15,1.652
2017/12/8,1.6574
2017/12/1,1.6586
2017/11/24,1.7003
2017/11/17,1.6979
2017/11/10,1.6942
2017/11/3,1.6693
2017/10/27,1.7478
2017/10/20,1.7453
2017/10/13,1.7355
2017/9/29,1.7098
2017/9/22,1.711
2017/9/15,1.7002
2017/9/8,1.7079
2017/9/1,1.7059
2017/8/25,1.7145
2017/8/18,1.674
2017/8/11,1.6469
2017/8/4,1.6771
2017/7/28,1.6766
2017/7/21,1.6685
2017/7/14,1.6488
2017/7/7,1.608
2017/6/30,1.6037
2017/6/23,1.5837
2017/6/16,1.5451
2017/6/9,1.5398
2017/6/2,1.5178
2017/5/26,1.5117
2017/5/19,1.4688
2017/5/12,1.4703
2017/5/5,1.4559
2017/4/28,1.5007
2017/4/21,1.5314
2017/4/14,1.5464
2017/4/7,1.5607
2017/3/31,1.5386
2017/3/24,1.5599
2017/3/17,1.5447
2017/3/10,1.5377
2017/3/3,1.5423
2017/2/24,1.5653
2017/2/17,1.5452
2017/2/10,1.5398
2017/2/3,1.5194
2017/1/26,1.5313
2017/1/20,1.5127
2017/1/13,1.4993
2017/1/6,1.505
2016/12/30,1.4814
2016/12/23,1.4831
2016/12/16,1.4901
2016/12/9,1.5221
2016/12/2,1.5317
2016/11/25,1.5243
2016/11/18,1.4778
2016/11/11,1.4797
2016/11/4,1.4524
2016/10/28,1.4984
2016/10/21,1.514
2016/10/14,1.504
2016/9/30,1.482
2016/9/23,1.4917
2016/9/14,1.4745
2016/9/9,1.512
2016/9/2,1.5138
2016/8/26,1.5168
2016/8/19,1.5477
2016/8/12,1.5261
2016/8/5,1.482
2016/7/29,1.4829
2016/7/22,1.4886
2016/7/15,1.5102
2016/7/8,1.4643
2016/7/1,1.4357
2016/6/24,1.3992
2016/6/17,1.4052
2016/6/8,1.4116
2016/6/3,1.4186
2016/5/27,1.3669
2016/5/20,1.3703
2016/5/13,1.3685
2016/5/6,1.3927
2016/4/29,1.4162
2016/4/22,1.4501
2016/4/15,1.4993
2016/4/8,1.465
2016/4/1,1.4865
2016/3/25,1.5003
2016/3/18,1.502
2016/3/11,1.443
2016/3/4,1.4765
2016/2/26,1.399
2016/2/19,1.438
2016/2/5,1.4033
2016/1/29,1.4058
2016/1/22,1.4838
2016/1/15,1.4868
2016/1/8,1.6065
2015/12/31,1.7568
2015/12/25,1.7989
2015/12/18,1.7769
2015/12/11,1.6823
2015/12/4,1.7241
2015/11/27,1.6696
2015/11/20,1.7658
2015/11/13,1.7544
2015/11/6,1.7739
2015/10/30,1.6885
2015/10/23,1.7648
2015/10/16,1.7523
2015/10/9,1.6673
2015/9/30,1.6038
2015/9/25,1.6276
