时间,PE-TTM市值加权值,PE 温度,PB,PB温度,指数温度
2010/4/9,23.3387,,2.9827,,
2010/4/16,22.8622,23.97500611,2.963,23.97500611,23.97500611
2010/4/23,20.3276,12.6701666,2.7795,12.50242755,12.58629707
2010/4/30,17.8493,10.02598521,2.6072,9.993225063,10.00960513
2010/5/7,16.4878,11.04633312,2.4233,8.461869568,9.754101345
2010/5/14,16.7166,17.17046664,2.4579,15.88938948,16.52992806
2010/5/21,16.1371,16.68597221,2.3733,13.49560895,15.09079058
2010/5/28,16.4296,21.72945352,2.4371,22.15258051,21.94101701
2010/6/4,15.8187,18.84743394,2.3594,16.92271628,17.88507511
2010/6/11,15.8394,21.10510388,2.364,19.63359871,20.3693513
2010/6/18,15.5865,20.60438042,2.3303,18.24230118,19.4233408
2010/6/25,15.8671,24.86663762,2.3778,25.15641569,25.01152665
2010/7/2,15.0399,18.31824099,2.2472,13.448625,15.883433
2010/7/9,15.5683,24.92437248,2.3466,25.44855977,25.18646613
2010/7/16,15.2598,22.71401189,2.3022,21.17663333,21.94532261
2010/7/23,16.177,34.69731153,2.4452,42.64763267,38.6724721
2010/7/30,16.3666,37.78767032,2.4721,47.40776663,42.59771848
2010/8/6,16.3641,38.09789527,2.4739,47.79386557,42.94588042
2010/8/13,15.9464,32.37888792,2.4161,37.55973145,34.96930969
2010/8/20,16.0045,33.70076209,2.4417,42.49926706,38.10001457
2010/8/27,15.2176,23.39590108,2.36,28.30654596,25.85122352
2010/9/3,15.0799,22.46560914,2.3784,31.9789935,27.22230132
2010/9/10,15.0944,23.41264096,2.381,32.87522565,28.14393331
2010/9/17,14.7091,19.4693505,2.332,24.90543349,22.187392
2010/9/21,14.7134,20.33969831,2.3325,25.60499056,22.97234443
2010/9/30,15.0599,25.52898843,2.3875,36.14985573,30.83942208
2010/10/8,15.5815,33.87369382,2.4702,53.70363318,43.7886635
2010/10/15,17.2481,63.07605143,2.7157,91.53564403,77.30584773
2010/10/22,17.2578,63.00529664,2.7107,90.0381095,76.52170307
2010/10/29,16.389,47.04004919,2.5723,70.19587062,58.61795991
2010/11/5,16.9737,57.98239664,2.6321,79.70906808,68.84573236
2010/11/12,16.2393,43.94371757,2.5042,55.22083621,49.58227689
2010/11/19,15.6566,33.29356416,2.4137,35.77865819,34.53611117
2010/11/26,15.4993,30.81655732,2.3787,29.0994352,29.95799626
2010/12/3,15.4254,29.85369669,2.3678,27.40652198,28.63010934
2010/12/10,15.4497,30.598367,2.3685,27.91146401,29.2549155
2010/12/17,15.6781,35.0688717,2.3991,34.38611833,34.72749501
2010/12/24,15.4487,31.02735219,2.3612,27.00186499,29.01460859
2010/12/31,15.3364,29.28220689,2.341,23.64172728,26.46196708
2011/1/7,15.7037,36.51448954,2.4341,43.5582512,40.03637037
2011/1/14,15.5347,33.37656464,2.4073,37.475465,35.42601482
2011/1/21,15.0896,25.45329818,2.3377,23.28066936,24.36698377
2011/1/28,15.2859,29.30692861,2.367,29.39344907,29.35018884
2011/2/1,15.5227,34.15789837,2.4038,37.80048465,35.97919151
2011/2/11,15.6323,36.58968834,2.4207,41.96170973,39.27569903
2011/2/18,16.0335,45.40965838,2.478,56.24161728,50.82563783
2011/2/25,15.8526,41.44813685,2.4499,49.12209437,45.28511561
2011/3/4,16.1808,48.93434832,2.5011,61.97784445,55.45609639
2011/3/11,16.0439,45.8053396,2.4833,57.41504848,51.61019404
2011/3/18,15.6064,35.99208474,2.4408,46.33984648,41.16596561
2011/3/25,15.9781,44.56462998,2.4881,58.72230989,51.64346994
2011/4/1,15.3498,30.60163071,2.422,41.24793354,35.92478213
2011/4/8,15.6365,37.04848213,2.4665,53.17538793,45.11193503
